,subj_idx,SESSION,RUN,TRIAL,X73KID,ISOLD,ISCORRECT,rt,CHANGEMIND,MEMORYRECENT,MEMORYFIRST,ISOLDCURRENT,ISCORRECTCURRENT,TOTAL1,TOTAL2,response,MISSINGDATA,trial_full,is_shared1000,is_special100,shared1000_repNum,recall_condition,MTL_ROI_Beta,Beta_ERC,Beta_BA35,Beta_BA36,Beta_SUB,Beta_CA1,Beta_CA2,Beta_CA3,Beta_DG,Beta_PHC,Beta_HT,result
786,1,2,1,49,5603,1,1,1.8040085399989,0,565.0,,0,0,0,1,1,0,799,1,0,2,hard,0.306059674734281,0.209169082125604,0.408547717842324,0.148757668711656,0.362247619047619,0.217892561983471,0.37156862745098,0.122291666666667,0.357703412073491,1.07990950226244,0.0393440428380187,HIT
787,1,2,1,50,3627,1,1,1.16715735301841,0,224.0,,0,0,0,1,1,0,800,1,0,2,hard,0.388681009092073,0.302212560386473,0.382586445366528,0.341549079754601,0.381019047619048,0.189090909090909,0.445294117647059,0.2465625,0.685262467191601,0.937707390648567,0.0671218206157965,HIT
809,1,2,2,9,4787,1,1,1.23578777100192,0,131.0,418.0,0,0,0,1,1,0,822,1,0,3,hard,0.56371238314765,0.677642512077295,0.71627939142462,0.383849693251534,0.601190476190476,0.151432506887052,0.295294117647059,1.06083333333333,0.74494750656168,1.17853695324284,0.301044176706827,HIT
831,1,2,2,33,14529,1,1,0.909421033982653,0,120.0,244.0,0,0,0,1,1,0,846,1,0,3,hard,-0.2110731207581,-0.348850241545894,0.0499308437067773,-0.17851226993865,-0.230171428571428,-0.162548209366391,-0.111960784313725,-0.882291666666667,-0.38237532808399,-0.151674208144796,-0.176854082998661,HIT
1052,1,2,6,8,38818,1,1,0.843925245999344,0,550.0,,0,0,0,1,1,0,1071,1,0,2,hard,0.0231950313740555,-0.729864734299517,0.71582295988935,0.147735173824131,-0.162638095238095,-0.428181818181818,0.374901960784314,0.2959375,0.0862860892388451,1.21571644042232,-0.411834002677376,HIT
1534,1,3,2,1,42300,1,1,1.5440784060047,0,101.0,,0,0,0,1,1,0,1564,1,0,2,hard,0.249490331668588,0.213188405797101,0.437275242047026,-0.207244376278119,0.192457142857143,0.214242424242424,0.46078431372549,0.729375,0.503845144356955,1.18352941176471,0.26384203480589,HIT
1545,1,3,2,12,62961,1,1,1.16229115400347,0,74.0,,0,0,0,1,1,0,1575,1,0,2,hard,0.270776027660392,-0.19951690821256,0.685947441217151,0.563364008179959,0.1596,0.232809917355372,-0.20843137254902,0.321041666666667,0.235616797900262,0.521146304675717,-0.212503346720214,HIT
1563,1,3,2,30,7208,1,0,-2.11748434300534,0,245.0,,0,1,1,0,0,0,1593,1,1,2,hard,0.321886285055705,0.177748792270531,0.592738589211618,0.370940695296524,0.289657142857143,0.068732782369146,0.118627450980392,0.353854166666667,0.125918635170604,0.771191553544495,0.233226238286479,MISS
1566,1,3,2,33,9435,1,1,1.61761178201414,0,104.0,,0,0,0,1,1,0,1596,1,0,2,hard,-0.26996158278909,-1.25415458937198,-0.529626556016597,0.165705521472393,-0.258038095238095,-0.0474242424242424,-0.359019607843137,-0.245104166666667,-0.289422572178478,-0.285882352941176,0.0080455153949129,HIT
1619,1,3,3,25,8110,1,1,1.05794073798461,0,452.0,,0,0,0,1,1,0,1650,1,0,2,hard,0.0878857728262261,-0.582917874396135,-0.294356846473029,0.779151329243354,-0.123285714285714,0.224435261707989,-0.366862745098039,-0.028125,-0.0555511811023622,0.336561085972851,-0.28710843373494,HIT
1688,1,3,4,31,7841,1,1,1.58894307099399,0,324.0,,0,0,0,1,1,0,1719,1,0,2,hard,0.103987706492509,0.136502415458937,0.75091286307054,0.275659509202454,-0.110657142857143,-0.216859504132231,0.232745098039216,-0.0147916666666667,-0.159750656167979,0.236365007541478,-0.24516733601071,HIT
2221,1,4,1,22,25269,1,0,-1.33145216099365,0,58.0,,0,1,1,0,0,0,2272,1,0,2,hard,0.110624919964144,0.732057971014493,-0.118160442600277,0.320025562372188,0.163438095238095,0.0598760330578512,0.0131372549019607,-0.617291666666667,-0.258097112860892,-0.288099547511312,-0.271967871485944,MISS
2253,1,4,1,54,9148,1,1,1.05070947000058,0,115.0,146.0,0,0,0,1,1,0,2304,1,0,3,hard,0.0788769368677167,0.0540676328502414,0.113471645919779,0.227668711656442,-0.207104761904762,-0.119669421487603,-0.0198039215686274,-0.420833333333333,-0.0651706036745406,0.624509803921569,0.0187282463186077,HIT
2268,1,4,2,6,11160,1,0,-1.12967445800314,0,1616.0,,0,1,1,0,0,0,2319,1,0,2,hard,0.41860929696504,0.238048309178744,0.665297372060858,0.56638036809816,0.267057142857143,-0.210619834710744,0.242156862745098,0.8125,0.195682414698163,1.39785822021116,0.187349397590361,MISS
2333,1,4,3,9,40424,1,0,-1.61139016000379,0,309.0,,0,1,1,0,0,0,2384,1,0,2,hard,0.376813932641824,0.52775845410628,0.560442600276625,0.268256646216769,0.188714285714286,-0.0579201101928374,-0.207450980392157,0.3403125,0.229435695538058,1.53039215686274,0.132168674698795,MISS
2395,1,4,4,9,28596,1,0,-1.45285563200014,0,334.0,,0,1,1,0,0,0,2447,1,1,2,hard,0.201893968497887,-0.812309178743961,0.588644536652835,0.366625766871166,0.243438095238095,-0.0479201101928374,0.366274509803922,0.486979166666667,0.503031496062992,0.997797888386124,-0.0756091030789826,MISS
2488,1,4,5,44,60506,1,1,1.06932708800014,0,1103.0,,0,0,0,1,1,0,2544,1,0,2,hard,0.0396171084645921,-0.0034589371980677,0.32746887966805,0.129320040899795,-0.061047619047619,-0.11469696969697,0.13,-0.0558333333333332,-0.387270341207349,0.689622926093514,-0.258072289156626,HIT
2517,1,4,6,10,7860,1,1,0.662028183003713,0,1394.0,,0,0,0,1,1,0,2573,1,0,2,hard,0.0741016775515431,-0.159420289855072,0.387399723374827,0.324033742331288,-0.0186,0.0604683195592286,0.121176470588235,-0.205416666666667,-0.172283464566929,0.269457013574661,-0.305809906291834,HIT
2705,1,4,9,19,21280,1,1,2.04829442600021,0,765.0,,0,0,0,1,1,0,2769,1,0,2,hard,0.23547189140735,-0.149613526570048,0.407178423236514,0.317157464212679,0.136942857142857,0.291349862258953,0.0137254901960784,0.034375,0.174120734908136,0.474238310708899,0.364779116465863,HIT
2719,1,4,9,33,16703,1,1,1.62965654199797,0,2000.0,,0,0,0,1,1,0,2783,1,0,2,hard,0.336528364707389,0.211033816425121,0.532586445366528,0.497188139059305,0.278771428571429,-0.17637741046832,0.644509803921569,0.492083333333333,0.138031496062992,0.924675716440422,0.11908969210174,HIT
2765,1,4,10,16,4931,1,0,-1.78004383799998,0,2771.0,,0,1,1,0,0,0,2829,1,0,2,hard,0.383138686131387,-0.0860966183574879,0.792019363762102,0.274529652351738,0.331247619047619,0.286101928374656,0.109607843137255,0.535833333333333,0.306679790026247,1.58488687782805,0.0996117804551539,MISS
2766,1,4,10,17,37225,1,1,1.60478812299698,0,1261.0,,0,0,0,1,1,0,2830,1,1,2,hard,0.460299654245102,0.0979033816425121,1.00643153526971,0.87659509202454,0.246733333333333,0.428829201101928,0.0005882352941176,-0.344583333333333,0.19489501312336,0.391749622926093,0.14095046854083,HIT
2771,1,4,10,22,67830,1,0,-1.41795720899972,0,1546.0,,0,1,1,0,0,0,2835,1,1,2,hard,0.382436931745422,0.410019323671498,0.574716459197787,0.335138036809816,0.185295238095238,0.0416115702479338,0.782156862745098,0.340625,0.284475065616798,1.27387631975867,0.177135207496653,MISS
2791,1,4,10,42,31748,1,1,1.45547860700026,0,750.0,,0,0,0,1,1,0,2855,1,0,2,hard,-0.250329107440133,-0.0317971014492753,-0.193098201936376,-0.572070552147239,-0.366190476190476,-0.135606060606061,0.0209803921568627,-0.468333333333333,-0.355249343832021,0.600120663650075,-0.352971887550201,HIT
2933,1,5,1,3,22264,1,0,-1.58955243499986,0,19.0,319.0,0,1,2,0,0,0,3003,1,0,3,hard,0.239608144448713,-0.230541062801932,0.397800829875519,0.324135991820041,0.0298666666666666,0.55995867768595,0.260196078431372,-0.146770833333333,0.199120734908136,1.15485671191554,-0.222730923694779,MISS
2946,1,5,1,16,59047,1,0,-1.15122095600009,0,76.0,,0,1,1,0,0,0,3016,1,0,2,hard,0.387301831220387,0.115497584541063,0.912863070539419,0.421998977505113,0.229685714285714,-0.0023553719008264,0.284117647058823,0.400833333333333,0.475419947506562,0.885867269984917,0.237536813922356,MISS
2966,1,5,1,36,17550,1,0,-1.10579654000003,0,305.0,,0,1,1,0,0,0,3036,1,0,2,hard,0.376966320911768,0.110966183574879,0.714426002766252,0.374268916155419,0.316152380952381,0.44698347107438,0.332549019607843,-0.189791666666666,0.335629921259842,0.836742081447964,0.153360107095047,MISS
2978,1,5,1,48,14645,1,0,-1.95507249399998,0,1822.0,,0,1,1,0,0,0,3048,1,0,2,hard,-0.384298885900884,-0.267468599033816,0.145587828492393,-0.535894683026585,-0.737371428571429,-0.1216391184573,0.263333333333333,-0.638125,-0.542821522309711,-0.260829562594268,-0.380548862115127,MISS
3013,1,5,2,23,72313,1,1,1.44175779299985,0,165.0,,0,0,0,1,1,0,3086,1,0,2,hard,0.513880138301959,1.17199033816425,0.234605809128631,0.328537832310838,0.50712380952381,0.232190082644628,0.205490196078431,0.772708333333333,0.646889763779528,1.06342383107089,0.0052878179384203,HIT
3035,1,5,2,45,69215,1,1,1.15527489999977,0,182.0,,0,0,0,1,1,0,3108,1,0,2,hard,0.70074273274427,0.938550724637681,0.892047026279391,0.759775051124744,0.522619047619048,-0.0143112947658401,0.0539215686274509,0.756041666666667,0.712664041994751,1.57012066365008,0.230120481927711,HIT
3060,1,5,3,9,46161,1,1,1.34249588400007,0,187.0,,0,0,0,1,1,0,3134,1,0,2,hard,0.430487898578563,-0.34783574879227,0.992461964038728,1.10338957055215,0.102342857142857,-0.0058677685950413,-0.199607843137255,-0.0034375,0.246469816272966,0.943197586726998,-0.0802275769745649,HIT
3076,1,5,3,26,33190,1,1,0.82168986600027,0,203.0,,0,0,0,1,1,0,3151,1,0,2,hard,0.302693046484825,0.0687053140096617,0.466154910096819,0.0847290388548057,0.312952380952381,0.0973415977961432,0.560980392156863,0.899791666666667,0.426994750656168,0.635686274509804,0.707858099062918,HIT
3138,1,5,4,25,22588,1,1,1.14532057399992,0,651.0,,0,0,0,1,1,0,3213,1,0,2,hard,0.494950697912665,2.27777777777778,0.346791147994467,0.439918200408998,0.284971428571429,-0.152796143250689,0.088235294117647,0.195208333333333,0.151837270341207,0.47156862745098,-0.325997322623829,HIT
3169,1,5,4,58,69131,1,0,-1.03988651700001,0,1304.0,,0,1,1,0,0,0,3246,1,0,2,hard,0.59821872198745,1.25974879227053,1.03734439834025,0.492193251533742,0.429647619047619,0.0396831955922864,0.697254901960784,0.941770833333333,0.604514435695538,0.730723981900452,0.13908969210174,MISS
3232,1,5,5,62,47409,1,1,1.11644464199981,0,355.0,,0,0,0,1,1,0,3312,1,0,2,hard,0.555238826994493,-0.103652173913043,0.993858921161826,0.909831288343558,0.172666666666667,0.264214876033058,0.35078431372549,0.648229166666667,0.505551181102362,1.50550527903469,0.145020080321285,HIT
3295,1,5,6,62,40841,1,0,-0.9687044960001,0,2460.0,,0,1,1,0,0,0,3375,1,0,2,hard,-0.148305800998847,-0.741304347826087,0.231908713692946,-0.04140081799591,-0.331885714285714,-0.0294352617079889,0.0127450980392157,-0.405416666666667,-0.334160104986877,0.651945701357466,-0.330722891566265,MISS
3321,1,5,7,26,30082,1,1,1.90550095900016,0,2237.0,2389.0,0,0,0,1,1,0,3401,1,0,3,hard,0.261509796388782,0.0109661835748792,0.597385892116182,0.208379345603272,-0.0083714285714285,0.146432506887052,0.0890196078431372,-0.2740625,0.367965879265092,1.2710407239819,-0.0101204819277108,HIT
3397,1,5,8,42,10108,1,0,-0.754793946999598,0,510.0,,0,1,1,0,0,0,3480,1,0,2,hard,0.266185170956589,0.228985507246377,0.431632088520055,0.155802658486707,0.219133333333333,-0.008457300275482,0.635098039215686,0.375416666666667,0.203923884514436,1.42947209653092,-0.228500669344043,MISS
3519,1,5,10,43,16918,1,0,-2.00727701600044,0,1307.0,,0,1,1,0,0,0,3606,1,0,2,hard,-0.097879369957741,-0.804425120772947,0.346984785615491,0.250618609406953,-0.345238095238095,-0.0095730027548209,-0.0903921568627451,-0.235104166666667,-0.128412073490814,0.0247812971342383,-0.260763052208835,MISS
3546,1,5,11,9,40576,1,0,-1.24428691499998,0,3327.0,,0,1,1,0,0,0,3634,1,0,2,hard,0.101810731207581,-0.580367149758454,0.189488243430152,-0.150674846625767,0.254580952380952,-0.100289256198347,0.265294117647059,1.00385416666667,0.261981627296588,1.3494419306184,0.207135207496653,MISS
3638,1,5,12,40,15940,1,0,-1.08996165699955,0,2407.0,,0,1,1,0,0,0,3728,1,0,2,hard,-0.201659623511333,-0.0248212560386473,-0.102655601659751,-0.258481595092025,-0.108409523809524,-0.350055096418733,0.282549019607843,0.283854166666667,-0.311259842519685,-0.321432880844645,-0.257911646586345,MISS
3680,1,6,1,22,19934,1,1,1.46969349100254,0,169.0,,0,0,0,1,1,0,3772,1,0,2,hard,0.279875784351389,0.411072463768116,0.401078838174274,-0.0745501022494887,-0.0610666666666666,0.170027548209366,0.271372549019608,0.762708333333333,0.701824146981627,1.40140271493213,0.007536813922356,HIT
3685,1,6,1,27,6432,1,0,-0.864437092008302,0,3655.0,,0,1,1,0,0,0,3777,1,0,2,hard,0.309037008579844,-0.228628019323672,0.444564315352697,0.432443762781186,0.153904761904762,0.143980716253443,-0.0690196078431372,0.614583333333333,0.405538057742782,1.21666666666667,0.0606961178045515,MISS
3717,1,6,1,59,16345,1,0,-1.08521690501948,0,2558.0,,0,1,1,0,0,0,3809,1,1,2,hard,0.654417979254706,0.823613526570048,0.799253112033195,0.776283231083845,-0.0708571428571428,0.478925619834711,0.657058823529412,0.264375,0.4150656167979,2.04277526395173,0.212597054886212,MISS
3731,1,6,2,10,14595,1,1,1.63463907499681,0,2951.0,3069.0,0,0,0,1,1,0,3823,1,0,3,hard,0.535570495582021,0.0315748792270531,0.907053941908714,0.648364008179959,0.122847619047619,0.637038567493113,0.615098039215686,0.708125,0.82240157480315,1.31808446455505,0.0457831325301204,HIT
